event_id,edep_MeV
0,0.662
1,0.662
2,0
3,0.662
4,0.662
5,0
6,0
7,0.205304
8,0
9,0.662
10,0
11,0
12,0.590198
13,0.164528
14,0
15,0.662
16,0
17,0.312581
18,0.662
19,0.662
20,0.662
21,0
22,0.662
23,0
24,0.662
25,0.095104
26,0.192905
27,0.241619
28,0.032782
29,0
30,0
31,0.662
32,0.662
33,0
34,0.662
35,0.662
36,0.662
37,0
38,0.662
39,0
40,0.662
41,0.662
42,0
43,0.662
44,0.662
45,0.662
46,0.662
47,0
48,0
49,0.662
50,0.662
51,0.662
52,0
53,0.662
54,0.264934
55,0
56,0.662
57,0.662
58,0
59,0.0707029
60,0.240707
61,0
62,0.662
63,0.662
64,0
65,0.106578
66,0.662
67,0
68,0.292251
69,0.662
70,0
71,0.662
72,0.662
73,0.398048
74,0
75,0.662
76,0.662
77,0
78,0.403401
79,0.662
80,0.662
81,0.527718
82,0.662
83,0
84,0.662
85,0.236163
86,0
87,0
88,0.514185
89,0.662
90,0
91,0.349922
92,0
93,0
94,0.662
95,0
96,0.662
97,0.0732782
98,0.662
99,0
